[17:40:49] | 404 | 1.2455ms | 127.0.0.1 | DELETE | /api/todos/65 | rpc error: code = Unknown desc = sql: no rows in result set
[17:40:54] | 404 | 643.9µs | 127.0.0.1 | DELETE | /api/todos/65 | rpc error: code = Unknown desc = sql: no rows in result set
[17:40:57] | 200 | 2.0585ms | 127.0.0.1 | GET | /api/todos/64 | -
[17:41:00] | 200 | 1.0232ms | 127.0.0.1 | GET | /api/todos/64 | -
[17:41:12] | 200 | 2.5359ms | 127.0.0.1 | GET | /api/todos/64 | -
[17:41:15] | 200 | 1.5968ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:42:59] | 200 | 30.3951ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:45:00] | 200 | 29.7427ms | 127.0.0.1 | GET | /api/todos/64 | - [91m
[30-Apr-2023 17:45:33] | 200 | 2.2527ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:46:43] | 200 | 27.7331ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:46:44] | 200 | 1.327ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:46:56] | 200 | 3.3341ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:47:05] | 200 | 3.3463ms | 127.0.0.1 | GET | /api/todos | -
[30-Apr-2023 17:47:06] | 200 | 1.4134ms | 127.0.0.1 | GET | /api/todos | -
[30-Apr-2023 17:47:07] | 200 | 3.0309ms | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:47:08] | 200 | 986.8µs | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:47:15] | 200 | 507.5µs | 127.0.0.1 | GET | /api/todos/64 | -
[30-Apr-2023 17:47:19] | 200 | 2.8428ms | 127.0.0.1 | GET | /api/todos/64 | -
